#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
55_Cnc_e,5172,18,18,0.35,0.1,0.1,0.873,0.051,0.035,0.954,0.017,0.018,4.43,0.02,0.02,1,0.11,0.07,0.737,0.05,0.03,0.03,0.01544,0.00005,0.00005,0.0243,0.0012,0.0009,0.1692,0.0039,0.0041,21.4,2.1,1.9,4.71,0.56,0.53,2349,188,193,2011ApJ...737L..18W,arXiv:1908.06299
pi_Men_c,5998,62,62,0.09,0.04,0.04,1.091,0.031,0.031,1.136,0.007,0.007,4.365,0.007,0.007,0.7442,0.0009,0.0009,6.268,0.066,0.086,0.047,0.06876,0.00065,0.00065,0.0142,0.0002,0.0002,0.1901,0.0033,0.0037,11,1.9,9.5,2.1,0.4,0.4,1170,2.8,4.3,arXiv:1809.05967,arXiv:2108.08889
AD_3116,3184,29,29,0.14,0.1,0.1,0.276,0.02,0.02,0.29,0.08,0.08,-1,-1,-1,-1,-1,-1,1.983,0.146,0.024,0.016,-1,-1,-1,54.2,4.3,4.3,1.02,0.28,0.28,-1,-1,-1,-1,-1,-1,1669,244,258,2017ApJ...849...11G,2017ApJ...849...11G
AU_Mic_b,3700,100,100,-1,-1,-1,0.5,0.03,0.03,0.75,0.03,0.03,4.39,0.03,0.03,-1,-1,-1,8.463,0.186,0.036,0.035,0.0645,0.0013,0.0013,0.0633,0.0049,0.0054,0.374,0.021,0.02,-1,-1,-1,1,0.14,0.15,-1,-1,-1,arXiv:2006.13248,arXiv:2109.13996
AU_Mic_c,3700,100,100,-1,-1,-1,0.5,0.03,0.03,0.75,0.03,0.03,4.39,0.03,0.03,-1,-1,-1,18.859,0.13,0.16,0.09,0.1101,0.002,0.002,0.0302,0.0065,0.0073,0.249,0.027,0.027,-1,-1,-1,0.92,0.2,0.22,-1,-1,-1,arXiv:2012.13238,arXiv:2109.13996
CoRoT-01,5950,150,150,-0.3,0.25,0.25,0.95,0.11,0.11,1.131,0.045,0.045,4.311,0.019,0.019,0.66,0.019,0.019,1.509,0,-1,-1,0.02536,0.00138,0.00022,1.03,0.1,0.1,1.551,0.064,0.064,10.65,0.69,0.69,0.259,0.021,0.021,1915,49,49,2008A+A...482L..17B,2011MNRAS.417.2166S
CoRoT-02,5598,50,50,0.04,0.05,0.05,0.997,0.049,0.049,0.901,0.019,0.019,4.527,0.017,0.017,1.362,0.064,0.064,1.743,0.0143,0.0077,0.0077,0.02835,0.00047,0.00047,3.57,0.15,0.15,1.46,0.031,0.031,41.5,1.7,1.7,1.073,0.058,0.058,1521,18,18,2008A+A...482L..21A,2012MNRAS.426.1291S
CoRoT-03,6558,44,44,0.14,0.04,0.04,1.403,0.061,0.061,1.575,0.094,0.094,4.191,0.046,0.046,0.359,0.058,0.058,4.257,0,-1,-1,0.05783,0.0011,0.00049,21.96,0.703,0.703,1.037,0.069,0.069,506,67,67,18.4,3.7,3.7,1695,57,57,2008A+A...491..889D,2011MNRAS.417.2166S
CoRoT-04,6190,60,60,0.05,0.07,0.07,1.194,0.049,0.05,1.148,0.092,0.032,4.396,0.024,0.068,0.79,0.064,0.161,9.202,0,-1,-1,0.0912,0.00125,0.0013,0.731,0.071,0.072,1.16,0.115,0.04,13.5,1.6,2.6,0.438,0.062,0.116,1058,42,17,2008A+A...488L..43A,2011MNRAS.417.2166S
CoRoT-05,6100,65,65,-0.25,0.06,0.06,0.99,0.07,0.07,1.115,0.035,0.033,4.339,0.021,0.02,0.714,0.045,0.043,4.038,0.09,0.09,0.04,0.0495,0.0012,0.0012,0.459,0.053,0.032,1.256,0.046,0.045,7.24,0.88,0.48,0.217,0.035,0.028,1397,15,15,2009A+A...506..281R,arXiv:1812.01536
