#name        radius    err   period  mass   err    age     semimajor  r_R      vsini   b     tsp  gaps  s_mass  s_rad   teff     flag
DSTucAb         5.6    0.2   8.14    14.4   0.0     40     0.079      0.0      0.0     0.0   G    1     0.959   0.872   5597.0   1
a-TOI-179b      2.8    0.9   4.1     12.0   6.5    200     0.05       0.02     4.3     0.0   K    1     0.85    0.8     5172.0   2
a-TOI-447b     28.0    3.4   5.5     152.0  25.0    20     0.06       0.0      0.0     0.0   F    1     1.3     1.26    6434.0   2 
TOI-251b        2.74   0.2   4.9     318.   0.0    180     0.0        0.0      0.0     0.0   K    0     1.04    0.88    5875.0   1
TOI-451b        1.94   0.7   1.9     6.0    0.0    120     0.03       0.04     9.      0.5   G    1     0.95    0.88    5550.0   1
TOI-451c        3.1    0.7   9.2     10.0   0.0    120     0.08       0.04     9.      0.5   G    1     0.95    0.88    5550.0   1
a-TOI-451c_2        3.1    0.7   9.2     18.0   0.0    120     0.08       0.04     9.      0.5   G    1     0.95    0.88    5550.0   1
TOI-451d        4.1    0.7  16.4     8.0    0.0    120     0.12       0.04     9.      0.5   G    1     0.95    0.88    5550.0   1
TOI-837b        8.5    0.88  8.3     381.6  0.0     35     0.0        0.0      0.0     0.0   G    0     1.12    1.02    6047.0   1 
TOI-942b        4.2    0.3   4.3     16.    0.0     50     0.05       0.04     13.8    0.0   K    1     0.88    0.89    4969.0   1
TOI-942c        4.8    0.4   10.0    37.    0.0     50     0.05       0.034    13.8    0.0   K    1     0.88    0.89    4969.0   1
TOI-1098b       3.2    0.1   10.18   0.0    0.0    250     0.0        0.0      0.0     0.0   F    0     1.21    1.19  6200.0     3
V1298Tauc       5.6    0.4   8.25    85.0   0.0     23     0.08       0.04     23.0    0.34  K    1     1.1     1.3     4970.0   1
V1298Taud       6.4    0.4   12.4    101.0   0.0     23     0.1        0.04     23.0    0.29  K    1     1.1     1.3     4970.0   1
V1298Taub      10.3    0.6   24.1    191.  54.0     23     0.16       0.07     23.0    0.46  K    1     1.1     1.3     4970.0   2
V1298Taue       8.7    0.8   60.8    385.0  44.0     23     0.3        0.06     23.0    0.52  K    1     1.1     1.3     4970.0  2
AU_Mic_b        4.38   0.2   8.46    17.0   5.0     22     0.0645     0.0      0.0     0.0   M    0     0.5     0.75    3700.0   2
AU_Mic_c        3.51   0.16 18.80    28.0   0.0     22     0.11       0.0      0.0     0.0   M    0     0.5     0.75    3700.0   1
TOI-1430        2.2    0.6   7.4     0.0    0.0    600     0.015      0.025    3.4     0.0   G    1     0.0     0.0     0.0      0
TOI-1726b       2.15   0.1   7.1     0.0    0.0    400     0.07       0.02     7.3     0.18  G    1     0.0     0.0     0.0      1
TOI-1726c       2.7    0.12  20.55   0.0    0.0    400     0.14       0.027    7.3     0.5   G    1     0.0     0.0     0.0      1
TOI-1807        1.85   0.04  0.55    0.0    0.0    180     0.008      0.020    5.5     0.9   K    1     0.75    0.68  4757.0     1
TOI-2076b       3.3    0.04  10.3    0.0    0.0    204     0.063      0.04     0.0     0.0.  K    1     0.85    0.76  5187.0     1
TOI-870         2.1    2.1   22.0    0.0    0.0    300     0.0        0.0      0.0     0.0   K    0     0.0     0.0     0.0      0
K2-25b          3.44   0.11  348.4   24.5   5.5    750     0.0        0.0      0.0     0.0   M    0     0.26    0.29    3207.0   2
K2-33b          5.05   0.37  5.42    1141.2 360.0   11     0.041      0.0      0.0     0.0   M    0     0.54    1.06    3540.0   1
K2-75b          2.54   0.3   7.8     0.0    0.0    120     0.08       0.0      0.0     0.0   I    0     0.0     0.0     0.0      3
K2-75c          2.62   0.3   18.2    0.0    0.0    120     0.14       0.0      0.0     0.0   I    0     0.0     0.0     0.0      3
K2-95b          3.7    0.2   10.1    529.4  1.66   800     0.065      0.0      0.0     0.0   M    0     0.43    0.44    3410.0   1
K2-100b         3.47   0.2   1.67    21.8   6.2    750     0.03       0.0      0.0     0.0   G    0     1.18    1.19    6120.0   2
